
Time     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:55:29     all   64.21    0.00   35.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:30     all   64.95    0.00   35.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:31     all   67.01    0.00   32.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:32     all   66.67    0.00   32.32    0.00    0.00    1.01    0.00    0.00    0.00    0.00
20:55:33     all   64.84    0.00   34.07    0.00    0.00    1.10    0.00    0.00    0.00    0.00
20:55:34     all   97.75    0.00    2.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:35     all   64.95    0.00   35.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:36     all   62.24    0.00   37.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:37     all   62.89    0.00   37.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:38     all   62.24    0.00   37.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:39     all   62.11    0.00   37.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:40     all   62.89    0.00   37.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:41     all   61.46    0.00   38.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:42     all   64.29    0.00   35.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:43     all   94.19    0.00    5.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:44     all   66.67    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:45     all   65.59    0.00   34.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:46     all   72.92    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:47     all   74.74    0.00   24.21    0.00    0.00    1.05    0.00    0.00    0.00    0.00
20:55:48     all   72.63    0.00   26.32    0.00    0.00    1.05    0.00    0.00    0.00    0.00
20:55:49     all   71.58    0.00   28.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:50     all   70.83    0.00   29.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:51     all   63.04    0.00   35.87    0.00    0.00    1.09    0.00    0.00    0.00    0.00
20:55:52     all   61.96    0.00   38.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:53     all   63.83    0.00   36.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:54     all   86.05    0.00   13.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:55     all   71.58    0.00   28.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:56     all   64.21    0.00   35.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:57     all   66.00    0.00   33.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
20:55:58     all   71.13    0.00   28.87    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:55:59     all   67.02    0.00   32.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:00     all   61.86    0.00   38.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00
